encodings,names
"[array([-0.10757037,  0.07614441,  0.0638938 , -0.10874074, -0.04328372,
        0.02318825,  0.02285985, -0.05976102,  0.16272749, -0.0680102 ,
        0.27235126, -0.03462243, -0.24026658,  0.00704514,  0.00764752,
        0.09252174, -0.24581504, -0.11132448, -0.07237764, -0.02494651,
        0.05424315,  0.06470723,  0.07739253,  0.06631912, -0.22905707,
       -0.33979297, -0.08454156, -0.1156061 ,  0.04825467, -0.04145604,
        0.04604046,  0.08993997, -0.15232269,  0.00967307,  0.01123002,
        0.10503671, -0.06192227, -0.16098902,  0.26688641,  0.049525  ,
       -0.24806815, -0.06436057,  0.01126246,  0.34887475,  0.24428946,
       -0.0654541 ,  0.01401064, -0.01197077,  0.05908157, -0.30194598,
        0.02200762,  0.18073705,  0.07061357,  0.05697091,  0.03062542,
       -0.09100292,  0.02556908,  0.11734805, -0.24255289, -0.0527561 ,
        0.03831138, -0.10761619,  0.07095225, -0.08948083,  0.2170139 ,
        0.0823991 , -0.18811479, -0.08316781,  0.16666636, -0.12267917,
       -0.0282211 ,  0.14423458, -0.17927606, -0.22431579, -0.25715071,
        0.03201875,  0.43564245,  0.11995868, -0.10177099,  0.02288089,
       -0.12222961, -0.08338717,  0.03275439,  0.19224428,  0.01428663,
       -0.00539663, -0.0774547 ,  0.10099067,  0.18763578, -0.0756421 ,
       -0.06549601,  0.24970753,  0.00484254, -0.06300057,  0.03766968,
        0.10943884, -0.0893475 ,  0.04354985, -0.10283412,  0.05925373,
        0.00079854, -0.03315785,  0.00329498,  0.15693288, -0.16187128,
        0.16412574,  0.02903555, -0.08242736,  0.03877075, -0.10740511,
       -0.0483298 , -0.08822114,  0.1520382 , -0.33879676,  0.04632613,
        0.1764144 , -0.00064972,  0.17345048,  0.00895134,  0.06086264,
       -0.00308603, -0.0199023 , -0.21811177, -0.02906138,  0.03488849,
        0.023318  ,  0.03461033, -0.00897453])]",1
"[array([-0.13262646,  0.09981676,  0.09624554, -0.11211111, -0.13916284,
       -0.03869126, -0.11856768, -0.15192159,  0.1824189 , -0.07793057,
        0.25206348, -0.0865159 , -0.31386903,  0.05957014, -0.19450794,
        0.12725858, -0.19297417, -0.08064599, -0.02917267, -0.07986694,
        0.07372326,  0.06636706, -0.04913701,  0.07671979, -0.10619301,
       -0.28176412, -0.05124754, -0.04255787,  0.05562643, -0.10165501,
        0.03389513,  0.05107125, -0.21723728,  0.00458817,  0.04966835,
        0.09463173, -0.03473452, -0.17544729,  0.13948773, -0.00386241,
       -0.16822259, -0.07617162,  0.08952515,  0.1888469 ,  0.18431877,
        0.01884964,  0.01261502, -0.16418563,  0.15401681, -0.32330975,
        0.01217987,  0.19440883,  0.03326957,  0.04231644,  0.09903075,
       -0.24553652, -0.00699612,  0.14093441, -0.18350554,  0.06314794,
        0.10910451, -0.06319483, -0.06831361, -0.14302117,  0.1839847 ,
        0.07822489, -0.16236475, -0.16654478,  0.24157904, -0.19547933,
        0.00240808,  0.14952505, -0.01583872, -0.22713636, -0.15587837,
        0.05622174,  0.40454096,  0.18475051, -0.09719031,  0.10771322,
       -0.10358227, -0.06389222, -0.03941273,  0.06720056,  0.00396074,
        0.00557956, -0.06921171, -0.01423214,  0.22317459, -0.009437  ,
        0.10303853,  0.35915947, -0.04226242, -0.04818114,  0.00845709,
        0.04355619, -0.1986353 ,  0.01732852, -0.04669476, -0.02742354,
        0.0382243 , -0.09995773,  0.02873218,  0.05764024, -0.19582063,
        0.13735557, -0.07558022, -0.01994301,  0.04030759, -0.12830099,
       -0.0549434 , -0.01665544,  0.22043529, -0.35144645,  0.18890397,
        0.06969486,  0.12179592,  0.19533327,  0.07048913,  0.10877725,
        0.09387125, -0.10178375, -0.12172882, -0.11972845, -0.02193372,
       -0.15020654, -0.06400402, -0.0114675 ])]",10688
"[array([-0.06565811,  0.17784131,  0.03841397,  0.02477948, -0.08632845,
        0.0849823 ,  0.01937078, -0.10613069,  0.15626709, -0.13588732,
        0.18198521, -0.00346003, -0.2291961 , -0.07235773,  0.08851843,
        0.09805381, -0.07635958, -0.12360136, -0.20568971, -0.11485367,
       -0.07254224,  0.06627939,  0.02733708, -0.0324926 , -0.25080064,
       -0.27148306, -0.07372733, -0.10852979,  0.10709036, -0.13310273,
       -0.02843163,  0.00911835, -0.08157951, -0.04107699,  0.05167339,
        0.0763756 , -0.09210877, -0.07743309,  0.19315699, -0.00485781,
       -0.16214967,  0.05846532,  0.06012208,  0.30465671,  0.21318816,
       -0.02896954,  0.04381463, -0.10243259,  0.17559667, -0.28870493,
        0.1272402 ,  0.05428917,  0.15538768,  0.14893611,  0.15707886,
       -0.14438969,  0.0340924 ,  0.18409956, -0.22242421,  0.07056588,
        0.0950169 , -0.0462262 , -0.04095039, -0.03610182,  0.19915302,
        0.16761483, -0.07589529, -0.16542479,  0.14917935, -0.22329254,
       -0.04041705,  0.12849727, -0.06079484, -0.1230639 , -0.30653372,
        0.05419767,  0.3556917 ,  0.24860588, -0.14062716, -0.05644872,
       -0.04449219,  0.00776279,  0.0277493 ,  0.02755958, -0.16010594,
       -0.11962916, -0.00321902,  0.02067162,  0.26839852,  0.01952531,
       -0.05233521,  0.19095407,  0.09153771, -0.05669997,  0.02387252,
       -0.05625517, -0.12130839, -0.1033955 , -0.05844571, -0.01218805,
       -0.0301612 , -0.15993169,  0.03559572,  0.14433399, -0.2830489 ,
        0.29082766, -0.03212819, -0.03655533,  0.05960617,  0.02026571,
       -0.04221268,  0.05982371,  0.20789894, -0.33846235,  0.17122531,
        0.17637104,  0.06487992,  0.11423793,  0.0158234 ,  0.06376466,
       -0.02940825,  0.06712699, -0.14626928, -0.09777431,  0.03135434,
       -0.12858079,  0.02046303,  0.0507725 ])]",10703
[],10706
[],10722
"[array([ 0.02688145,  0.12307495,  0.13770236, -0.12490108, -0.15349427,
       -0.03740818, -0.03620321, -0.09191495,  0.16344231, -0.09314365,
        0.14142242, -0.11483354, -0.29556638,  0.06084124, -0.06584974,
        0.1900734 , -0.13480571, -0.24201858, -0.13822667, -0.15732649,
        0.01456241,  0.11934532, -0.03778968,  0.05073617, -0.11953361,
       -0.26735377, -0.09337335, -0.09315722,  0.03835112, -0.08402869,
        0.06345886,  0.11555437, -0.14306861, -0.01239499,  0.08099768,
        0.06000418, -0.01348933, -0.17394668,  0.18246822,  0.01814823,
       -0.26112795,  0.04142275,  0.09340829,  0.29144198,  0.21090567,
        0.0516862 ,  0.04685004, -0.07473732,  0.1704378 , -0.25657284,
        0.05921511,  0.14180602,  0.12248584,  0.01667199,  0.04221941,
       -0.22911049,  0.05363931,  0.1350719 , -0.29955357,  0.06807809,
        0.14867322, -0.25018856, -0.03119398, -0.0657839 ,  0.22714078,
        0.01237976, -0.13045298, -0.20481423,  0.25097176, -0.17572451,
       -0.00934603,  0.16811758, -0.14328399, -0.07634103, -0.26065084,
        0.03886355,  0.51779991,  0.04934229, -0.06927633,  0.10637559,
       -0.08161388,  0.03129701, -0.05947405,  0.13129039, -0.03861107,
       -0.08966707, -0.16878662,  0.02529461,  0.24902701, -0.11856607,
       -0.0209425 ,  0.23921904, -0.01853221, -0.02950597, -0.04895259,
        0.05179712, -0.18419318,  0.02014199, -0.01947527,  0.00239133,
       -0.00648274, -0.03111848, -0.0343386 ,  0.0925914 , -0.15943769,
        0.13631879, -0.08180905, -0.02372273, -0.0746701 , -0.08250964,
       -0.04473682, -0.07183276,  0.21997607, -0.31575802,  0.06630754,
        0.15252756,  0.07644345,  0.12549204,  0.04442012,  0.07517315,
        0.06467761, -0.10453838, -0.26050588, -0.0944296 ,  0.07860918,
       -0.05293319,  0.02093811,  0.10181991])]",10743
"[array([-1.92355782e-01,  1.04781725e-01,  4.85616475e-02, -2.95037031e-02,
       -2.54064232e-01,  4.70269434e-02, -2.24588178e-02, -1.08774625e-01,
        1.42890766e-01, -8.89406055e-02,  1.24956653e-01,  5.43873571e-02,
       -2.46578261e-01,  1.92051064e-02,  3.97009775e-03,  1.21138886e-01,
       -1.03352956e-01, -1.97593570e-01, -1.90891609e-01, -8.73642117e-02,
       -1.07300967e-01,  9.23520699e-02, -2.34245751e-02,  7.67967198e-04,
       -8.12565684e-02, -3.34616631e-01, -2.21739653e-02, -6.17741719e-02,
        1.62855670e-01, -1.57539491e-02, -8.32226351e-02,  4.43722047e-02,
       -1.66513562e-01, -3.72246280e-02,  3.61705199e-03,  9.73040164e-02,
       -9.33823660e-02, -6.57029152e-02,  1.76384777e-01, -2.59696506e-03,
       -2.44480222e-01, -3.63593455e-03,  5.60323596e-02,  2.53504425e-01,
        2.31386244e-01,  5.40714264e-02,  5.08338772e-02, -7.57210255e-02,
        1.36382967e-01, -2.69855231e-01,  8.65063295e-02,  1.28055781e-01,
        9.78730172e-02,  8.45065340e-02,  5.66970035e-02, -2.18916714e-01,
       -8.87788925e-03,  1.29474282e-01, -1.40993819e-01,  1.43589765e-01,
        8.69012326e-02, -1.04075775e-01, -7.98641592e-02, -9.86034721e-02,
        2.56107390e-01,  1.04091741e-01, -9.59934592e-02, -1.51493207e-01,
        1.72926635e-01, -2.13084310e-01, -8.29211548e-02,  1.07117966e-01,
       -5.22808433e-02, -1.43228337e-01, -2.23218173e-01,  8.32833201e-02,
        4.30600822e-01,  1.80042028e-01, -1.87077314e-01, -4.97198999e-02,
       -4.88290656e-03, -6.03668280e-02,  8.63247290e-02,  9.91354808e-02,
       -1.21882990e-01, -1.08364895e-01, -1.36249334e-01, -4.80015911e-02,
        3.14084530e-01,  9.61711258e-03,  2.58081667e-02,  2.73331523e-01,
        1.03617176e-01, -1.46596599e-03,  1.12497006e-02,  1.44936025e-01,
       -1.19538441e-01, -3.12449206e-02, -6.84158280e-02, -5.75503260e-02,
        1.55984864e-01, -1.42257825e-01,  1.22671351e-02,  8.70389268e-02,
       -1.32502258e-01,  2.32304886e-01, -5.57687804e-02,  1.03247292e-01,
        7.33119398e-02, -6.23256862e-02, -2.42470130e-02, -4.38852832e-02,
        2.13424385e-01, -1.73907161e-01,  2.20110342e-01,  1.74701318e-01,
        1.29837329e-02,  1.47490114e-01,  9.15038809e-02,  9.33736563e-02,
        3.78839672e-04,  3.08138877e-03, -1.66297704e-01, -1.37429491e-01,
        6.69288188e-02, -1.33481517e-01,  1.97754949e-02,  1.32422641e-01])]",12928
"[array([-0.05820727,  0.09861625,  0.012988  ,  0.0022277 , -0.07110761,
       -0.00390231, -0.05393604, -0.13701658,  0.08521122, -0.03649822,
        0.23328349, -0.04617213, -0.24361724,  0.01086108, -0.11394069,
        0.13597694, -0.17405955, -0.07311901, -0.19767077, -0.1766182 ,
       -0.11067228,  0.0386995 , -0.07049192, -0.01857336, -0.04765044,
       -0.19616133, -0.01135602, -0.09967653,  0.19004153, -0.03322098,
        0.03106929,  0.01821837, -0.23138388, -0.07992642,  0.04372446,
        0.02784022, -0.13469766, -0.06350262,  0.28225875,  0.03335166,
       -0.1130957 ,  0.04856376,  0.07975937,  0.28730869,  0.26811767,
       -0.02695076, -0.02796221, -0.06267937,  0.15641962, -0.30546159,
       -0.00298235,  0.24412288,  0.17786652,  0.1132043 ,  0.08379005,
       -0.13278808,  0.06551414,  0.14609902, -0.15007283,  0.07274705,
        0.13427252, -0.06406134, -0.03556586, -0.0308551 ,  0.13782352,
        0.03287576, -0.05396466, -0.13076195,  0.24240401, -0.16303551,
       -0.0307605 ,  0.07769221, -0.05109571, -0.14990793, -0.28206187,
        0.06292237,  0.4303045 ,  0.20755619, -0.12487751,  0.06451246,
       -0.04994253, -0.09103043,  0.08847915, -0.01699564, -0.08412866,
       -0.15952073, -0.04960218, -0.01045488,  0.20309804,  0.0087134 ,
        0.01654421,  0.14816554, -0.00243521, -0.08272766,  0.01825532,
        0.02039775, -0.14865281, -0.06293299, -0.10388824, -0.04482962,
        0.02314389, -0.11844675,  0.07342488,  0.12028259, -0.16423008,
        0.20318633, -0.02875601,  0.00483971,  0.03661911, -0.00536753,
       -0.00487155,  0.057196  ,  0.23591253, -0.17649315,  0.26665372,
        0.11995512, -0.01772635,  0.04306047,  0.10345029,  0.06160302,
       -0.04811325,  0.0239081 , -0.19172427, -0.21408829, -0.10292919,
       -0.08084901,  0.01510971,  0.03966824])]",12940
[],12948
"[array([-0.08423153,  0.06779195,  0.04833198, -0.038813  , -0.03406497,
        0.03545331, -0.04042573, -0.09982713,  0.12678924, -0.07210232,
        0.17997476,  0.01748059, -0.2125054 ,  0.02794196, -0.02399353,
        0.10217915, -0.13816144, -0.02265535, -0.12048808, -0.16354412,
       -0.02199195,  0.11337935,  0.09117392, -0.03949606, -0.18333142,
       -0.15334415, -0.0411896 , -0.07260565,  0.06287955, -0.1095021 ,
       -0.01761784, -0.0376773 , -0.16799456,  0.02517419,  0.06013363,
        0.02905024, -0.03923929, -0.10235308,  0.2115065 ,  0.03276625,
       -0.11097491,  0.01381294,  0.03746517,  0.19444856,  0.17224656,
       -0.00983621,  0.00593468, -0.13741568,  0.12031082, -0.26751035,
        0.10636098,  0.07221662,  0.04054284,  0.04854879,  0.00332386,
       -0.17043506, -0.03921447,  0.18629068, -0.13464811,  0.13341455,
        0.08659554, -0.05446553, -0.0955826 , -0.01132127,  0.15700968,
        0.19065519, -0.15514791, -0.17257157,  0.14672112, -0.12186109,
       -0.05650435,  0.09891874, -0.05313084, -0.17215143, -0.22599599,
        0.05501034,  0.41928118,  0.10533985, -0.17056188, -0.06283717,
       -0.08399867, -0.00079777,  0.03773198,  0.09874889, -0.13118482,
       -0.0599792 , -0.01060382,  0.04452068,  0.25521785,  0.0038622 ,
       -0.11509678,  0.19522296,  0.01811882,  0.00499238, -0.00217472,
        0.0948417 , -0.11194847, -0.0622936 , -0.07999954, -0.06077137,
        0.06440005, -0.12269229,  0.01873045,  0.20172353, -0.2075135 ,
        0.25412545, -0.03434867, -0.09302881,  0.07366879,  0.02192131,
        0.00044043,  0.03570355,  0.15747964, -0.24177787,  0.20585008,
        0.17711245,  0.09077474,  0.15935782,  0.03704552,  0.11230143,
        0.05186424,  0.096731  , -0.14408343, -0.12350772, -0.03538097,
       -0.01927396,  0.06881605,  0.04599865])]",12950
