encodings,names
"[array([-0.08702351,  0.06502452,  0.00077777, -0.10133235, -0.08908893,
        0.07239252, -0.02935002, -0.07527255,  0.15196456, -0.17456427,
        0.23326105,  0.00217591, -0.26043707, -0.05030977,  0.00731477,
        0.05611508, -0.13239218, -0.14115076, -0.0109191 , -0.00373001,
        0.12019784, -0.00661491, -0.01275891,  0.07797091, -0.16102347,
       -0.2663154 , -0.14924501, -0.10193006,  0.06337835, -0.11895356,
       -0.0642783 , -0.08303522, -0.15637621, -0.00202337, -0.04408902,
        0.10136106, -0.06015458, -0.08576127,  0.13447379,  0.0540692 ,
       -0.1340211 ,  0.02307529, -0.00612997,  0.21922457,  0.16893685,
        0.02927339,  0.05735713, -0.09964614,  0.12611148, -0.28035238,
        0.14623335,  0.13181084,  0.14811327,  0.13572043,  0.09122944,
       -0.17115743,  0.01155132,  0.14926837, -0.13066484,  0.16880733,
        0.05447871,  0.0463698 ,  0.0317472 , -0.02251765,  0.13693175,
        0.08081109, -0.13708512, -0.16201097,  0.12160078, -0.16310839,
       -0.08536958,  0.1598199 , -0.11164127, -0.23159923, -0.1659483 ,
        0.10857017,  0.42467827,  0.24823032, -0.12522301, -0.01376884,
       -0.13362472, -0.06139604,  0.04809439,  0.00971051, -0.00644697,
       -0.03627037, -0.14113259,  0.08075679,  0.21991959, -0.03345476,
        0.00530514,  0.28291497,  0.01757816,  0.08649704,  0.01104008,
        0.13020648, -0.1042238 ,  0.05801111, -0.04285077, -0.02761337,
        0.03878123, -0.13011442, -0.0118921 ,  0.06144536, -0.17673688,
        0.2169369 , -0.02059093,  0.00488111, -0.02049612,  0.0117813 ,
       -0.15290177,  0.05506225,  0.1496186 , -0.3180362 ,  0.17790969,
        0.18781041,  0.08081514,  0.11471977,  0.08593792,  0.05998509,
        0.04947378, -0.13155195, -0.17521954, -0.0801385 , -0.01629032,
        0.00231952, -0.00308232,  0.03518853])]",1
"[array([-0.06772775,  0.13808116,  0.02169618, -0.05690609, -0.11239053,
        0.06731554, -0.0857324 , -0.00461219,  0.12479497, -0.00679041,
        0.16822381, -0.04740063, -0.27090582,  0.02630398, -0.06566822,
        0.07857551, -0.04353682, -0.12195493, -0.13930257, -0.06458119,
        0.04123016,  0.11062031, -0.00829167,  0.04441605, -0.27137661,
       -0.21810798, -0.07738187, -0.15311912, -0.03952609, -0.13191913,
       -0.01007657,  0.01460916, -0.174503  , -0.04561237,  0.02811287,
        0.09005115, -0.03540939,  0.00359589,  0.20464192,  0.08614051,
       -0.16892019,  0.07013866,  0.03978568,  0.3528505 ,  0.20687683,
        0.00183847,  0.01672785, -0.054381  ,  0.09399942, -0.22891061,
        0.18126062,  0.15738294,  0.15376347,  0.11023456,  0.08289921,
       -0.13438307, -0.00079005,  0.27198949, -0.20996606,  0.09226277,
        0.02685981, -0.03546964, -0.04112971, -0.04249442,  0.20122647,
        0.09814326, -0.11440669, -0.09432577,  0.14212373, -0.09151615,
       -0.01101204,  0.14333509, -0.14444734, -0.16028985, -0.26952666,
        0.13178697,  0.40540081,  0.1179627 , -0.23317891,  0.0275462 ,
       -0.04900277, -0.02317447,  0.02389217, -0.00067773, -0.08938375,
       -0.01382405, -0.05832847,  0.09439147,  0.19860724, -0.04381057,
        0.0047795 ,  0.2025927 ,  0.04011747, -0.08640442,  0.09158409,
        0.0632716 , -0.12925421, -0.10414889, -0.11306843, -0.05963952,
        0.03025364, -0.11020476, -0.03452368,  0.07058441, -0.19229041,
        0.1469309 ,  0.04133122, -0.09647513, -0.06282204, -0.02316416,
       -0.05930457, -0.03837534,  0.25628144, -0.26049557,  0.14133993,
        0.06748901, -0.02757884,  0.13426195,  0.07022122,  0.07952973,
       -0.03608503,  0.00396357, -0.11306976, -0.06807991,  0.11975875,
        0.0163334 ,  0.10568744,  0.03103565])]",2
"[array([ 0.02220505,  0.11569731,  0.01553259, -0.03404564, -0.10613484,
       -0.01445726,  0.0526646 , -0.06630751,  0.13342266, -0.05123756,
        0.18852235, -0.07335246, -0.28260529, -0.02163284,  0.08491882,
        0.07226431, -0.07349421, -0.06686316, -0.11530586, -0.02113874,
       -0.07404321, -0.00587405,  0.01835887, -0.0058648 ,  0.00405046,
       -0.34957892, -0.02678403, -0.0594958 ,  0.11944397, -0.08845957,
        0.0030416 ,  0.09519931, -0.12513036, -0.02881181,  0.02571862,
        0.02573421, -0.18950242, -0.14405786,  0.2546525 , -0.07221846,
       -0.09305213, -0.13118784,  0.08237967,  0.16273049,  0.11953259,
       -0.00496977,  0.09470727, -0.0493664 ,  0.04420022, -0.22251061,
        0.06421951,  0.12292431,  0.1116748 ,  0.13944755,  0.09500686,
       -0.1879575 ,  0.06211032,  0.08444003, -0.16861755,  0.10649571,
        0.08824094, -0.07398105, -0.08667095, -0.040453  ,  0.2532593 ,
        0.06160709, -0.06252249, -0.10531176,  0.08912294, -0.20081691,
       -0.09160338,  0.01201566, -0.0565927 , -0.17527327, -0.19060129,
        0.01695608,  0.25996137,  0.2348368 , -0.15096056,  0.02580534,
       -0.0239546 , -0.1098409 ,  0.08957822,  0.05682389, -0.09128398,
       -0.0911849 , -0.09379254, -0.00065156,  0.2111088 , -0.0516452 ,
       -0.03826979,  0.14169009, -0.00374083,  0.00731636, -0.04975939,
       -0.0916469 , -0.05997454,  0.00716237, -0.07017225, -0.02768198,
        0.08256171, -0.15931249, -0.02800557,  0.08291325, -0.21947154,
        0.17819412,  0.01268085, -0.00678282,  0.08559787, -0.02696068,
       -0.10532315, -0.00640959,  0.17043622, -0.23147343,  0.24622613,
        0.14128718,  0.06386586,  0.1446507 ,  0.05764958,  0.09726991,
        0.08374174, -0.0300634 , -0.15209857, -0.1042257 ,  0.02081208,
        0.02973447,  0.02392856,  0.05484142])]",206
"[array([-0.11920547,  0.12709941,  0.14647801, -0.05783167, -0.18314865,
       -0.00165515, -0.1120005 , -0.15435828,  0.19288823, -0.23696657,
        0.23325767, -0.02228399, -0.2463073 ,  0.06419682, -0.1159692 ,
        0.18296883, -0.18040609, -0.13290066, -0.05327842, -0.0805267 ,
        0.1007283 ,  0.01370905,  0.00483161,  0.08369745, -0.1011392 ,
       -0.41547501, -0.00799273,  0.01825427, -0.04301468, -0.14067899,
        0.0022974 ,  0.13155295, -0.16385095,  0.04818904, -0.10386945,
        0.15187009, -0.04434688, -0.12433095,  0.08377586,  0.03219112,
       -0.27744675, -0.01023684,  0.01567926,  0.30112615,  0.27263302,
       -0.04909295,  0.05486983, -0.11907077,  0.12505458, -0.31461531,
        0.05565024,  0.1381744 ,  0.04715169,  0.05304682,  0.12524198,
       -0.21691342, -0.0210708 ,  0.02836337, -0.05113084, -0.02605564,
        0.11579426, -0.05586004,  0.0529415 , -0.1579594 ,  0.21965235,
        0.15884073, -0.11627247, -0.05230227,  0.18748884, -0.140048  ,
       -0.08546986,  0.01182126, -0.17543669, -0.17160714, -0.32094565,
        0.01756104,  0.44268703,  0.18504512, -0.13073552, -0.0088208 ,
       -0.02301538,  0.02825536,  0.03771613,  0.24591319, -0.0130731 ,
        0.01685219, -0.05315395,  0.13539949,  0.13350704,  0.01267827,
       -0.07280696,  0.26997089,  0.02279423, -0.03657063,  0.0378489 ,
        0.09010957, -0.15998317,  0.0463875 , -0.17386632, -0.00375673,
       -0.05266587, -0.0261906 , -0.01206579,  0.14791352, -0.14797907,
        0.19902608, -0.05081734,  0.04777566,  0.03204215,  0.01555364,
       -0.04021123, -0.02715029,  0.09947703, -0.20547637,  0.08877855,
        0.16417931,  0.08986005,  0.19717646,  0.03673705,  0.12686616,
        0.0249672 , -0.03674825, -0.15874094, -0.0083889 , -0.02912674,
       -0.04608911, -0.03184871,  0.07602258])]",207
"[array([-0.05162227,  0.03980391,  0.05520072, -0.07264554, -0.14527634,
       -0.04525859, -0.02212948, -0.04552613,  0.12315449, -0.1130217 ,
        0.2130703 , -0.06483585, -0.30086064, -0.06321589,  0.05300342,
        0.13307296, -0.16916758, -0.169938  , -0.06004579, -0.06547933,
        0.12213024,  0.00739348,  0.01761945,  0.05512106, -0.2109711 ,
       -0.30194411, -0.13607842, -0.13729635, -0.02529653, -0.03380199,
        0.03702891,  0.06460113, -0.09882209,  0.0403456 ,  0.0541242 ,
        0.09701671, -0.03360835, -0.15104507,  0.15938817, -0.08633368,
       -0.25099742, -0.06456716,  0.07159564,  0.16483958,  0.17392558,
       -0.00940691,  0.05404537, -0.07002668,  0.10076983, -0.29182416,
        0.01997074,  0.21690427, -0.05966796,  0.08328595,  0.11984832,
       -0.17209026,  0.06439654,  0.21074606, -0.22871712, -0.02916633,
        0.0015489 , -0.09769031, -0.01565894, -0.09286943,  0.16044635,
        0.08857857, -0.13894689, -0.20876728,  0.16096531, -0.21292974,
       -0.06586616,  0.17278399, -0.1919035 , -0.24084541, -0.25365058,
        0.01181062,  0.4297978 ,  0.16108216, -0.07479834,  0.1113313 ,
       -0.07814544, -0.03799035,  0.06017982,  0.06895847,  0.04620466,
       -0.02416723, -0.18728147,  0.05890601,  0.208598  , -0.14247267,
        0.06719644,  0.26054499, -0.0016216 ,  0.01560968,  0.0058322 ,
        0.06179963, -0.09463026,  0.03648478, -0.09874285,  0.0130986 ,
        0.04521981, -0.07552433, -0.04449557,  0.04291862, -0.14173448,
        0.06555875, -0.00705747, -0.04511484, -0.11055068, -0.12097067,
       -0.10382853, -0.00818254,  0.16722448, -0.3126989 ,  0.1400682 ,
        0.19017491,  0.04475279,  0.16382769,  0.06409342,  0.05399671,
       -0.01428674, -0.18660791, -0.22318004, -0.017836  ,  0.04204457,
        0.01685061, -0.05965547, -0.0070291 ])]",208
"[array([-0.079773  ,  0.14934139,  0.17063355, -0.09733023, -0.16045272,
        0.00797097, -0.04665786, -0.05900355,  0.21710829, -0.09675346,
        0.1482178 , -0.08227926, -0.29920831,  0.08189676, -0.03356208,
        0.16306511, -0.180677  , -0.17428845, -0.00939787, -0.05430001,
        0.02407541,  0.01898679, -0.07522737,  0.0720823 , -0.1397725 ,
       -0.41002274, -0.04577585,  0.00869769, -0.09753099, -0.11062314,
        0.04607825,  0.10958257, -0.22391073,  0.0118548 ,  0.01672835,
        0.08090025, -0.09638964, -0.11208921,  0.16056545,  0.08787473,
       -0.23760177,  0.00493771,  0.05340931,  0.32636368,  0.1946204 ,
        0.01646342, -0.01622073, -0.04511278,  0.16490817, -0.33671978,
        0.00418375,  0.25226867, -0.00095721,  0.0079591 ,  0.10964705,
       -0.13378637, -0.01652152,  0.11945085, -0.18259376,  0.07006225,
        0.0905212 , -0.15494053, -0.0365051 , -0.17483386,  0.2460651 ,
        0.07001776, -0.16302507, -0.06644037,  0.20807377, -0.07875532,
       -0.05850382,  0.03381722, -0.15046492, -0.20174578, -0.30252934,
        0.06774151,  0.46397671,  0.13024393, -0.14913113,  0.04427671,
       -0.06362695, -0.00427186, -0.02059033,  0.23019379, -0.00457   ,
       -0.00703437, -0.04365782,  0.09536385,  0.18783821,  0.02203455,
       -0.01410374,  0.28785455, -0.02005498,  0.01027127, -0.05202689,
       -0.00674571, -0.1555634 , -0.07449868, -0.20323695, -0.07609888,
       -0.02813204, -0.00513896, -0.04192643,  0.20609553, -0.22482084,
        0.14937231,  0.02058852, -0.03845944, -0.0253679 , -0.00052838,
       -0.05353656, -0.0420698 ,  0.11160126, -0.30395928,  0.11009088,
        0.1470449 ,  0.06969377,  0.10518304,  0.01272278, -0.0097981 ,
        0.04715063, -0.06420313, -0.16941957, -0.07232457,  0.02827628,
       -0.01840082, -0.00958104,  0.01984937])]",209
"[array([-1.17709562e-01,  3.78015488e-02,  2.49856021e-02, -9.63573083e-02,
       -6.50384575e-02, -1.12859473e-01,  8.44954550e-02, -1.00058213e-01,
        1.67631105e-01, -2.13717856e-02,  1.83561578e-01,  3.32877971e-04,
       -2.17374220e-01, -1.14262082e-01,  5.82682434e-03,  1.19802728e-01,
       -1.22949980e-01, -2.17224270e-01, -8.94486308e-02, -8.48251507e-02,
        4.53018099e-02, -7.99309611e-02, -9.89637971e-02,  4.72584739e-02,
       -8.79075825e-02, -2.51016557e-01, -1.13769889e-01, -5.41210771e-02,
        8.80846009e-02, -4.94730137e-02,  7.75553063e-02,  2.67802905e-02,
       -1.61885098e-01, -1.16218820e-01,  5.09615913e-02,  7.61304647e-02,
       -1.34768095e-02, -1.13609470e-01,  2.35238403e-01, -3.72232795e-02,
       -1.79136693e-01, -7.16589540e-02,  6.90129772e-02,  3.06557596e-01,
        6.33921400e-02,  3.59801739e-03,  7.94320554e-02, -6.14828281e-02,
        1.71908125e-01, -2.50900120e-01,  1.48982078e-01,  1.39899731e-01,
        1.82200044e-01,  5.96626513e-02,  1.14300847e-01, -1.63778678e-01,
        8.90588686e-02,  1.88097745e-01, -2.86280185e-01,  9.33509022e-02,
        7.53625482e-02, -9.91772562e-02, -8.53914768e-02, -1.39699012e-01,
        1.81154817e-01,  9.73896608e-02, -1.02893166e-01, -1.32768080e-01,
        2.23989695e-01, -9.72657204e-02, -8.12611878e-02, -1.00611439e-02,
       -1.06615841e-01, -1.35382593e-01, -3.93185735e-01,  5.23947254e-02,
        4.17438269e-01,  1.70092896e-01, -1.32038459e-01,  1.03402600e-01,
       -1.08616784e-01,  1.53019968e-02,  1.87681466e-02,  1.29395127e-02,
       -1.43246621e-01,  6.60417378e-02, -1.00005314e-01,  3.52505818e-02,
        1.41504213e-01,  2.75474787e-02, -4.87980768e-02,  1.21403299e-01,
       -4.69397381e-03, -1.41150625e-02, -1.02426577e-03,  3.65903154e-02,
       -5.88916987e-02, -5.24813775e-03, -6.66034669e-02,  6.30641542e-03,
        1.36743784e-01, -1.16151720e-01,  8.07068944e-02,  1.20653361e-01,
       -2.68317699e-01,  1.46212965e-01,  3.79935317e-02,  3.14841159e-02,
       -2.66546793e-02,  1.46168331e-02, -9.50879455e-02, -1.54832448e-03,
        1.22405484e-01, -2.88562953e-01,  2.17053294e-01,  1.82803035e-01,
        1.68623105e-02,  1.24513574e-01,  4.73183803e-02,  1.16989231e-02,
       -1.88585557e-03, -1.02707162e-01, -1.61804542e-01, -7.34080672e-02,
        4.09869403e-02,  1.13537414e-02,  7.33225793e-02,  1.46579713e-01])]",210
"[array([ 0.00739271,  0.0409127 , -0.02463313, -0.0508753 , -0.09718873,
        0.01467764, -0.09521289, -0.00217269,  0.14111783,  0.05336655,
        0.21767512,  0.06810776, -0.25577298, -0.06497112,  0.02952327,
        0.14455283, -0.10701674, -0.12086379, -0.11777167, -0.14749578,
        0.00325859,  0.04975017,  0.03997922,  0.0760546 , -0.16467623,
       -0.32646108, -0.0327815 , -0.13445532,  0.03938128, -0.12872113,
        0.01364493,  0.06123044, -0.23270485, -0.09709184,  0.05186899,
        0.02512598, -0.03667589, -0.13455424,  0.26264435,  0.09039815,
       -0.11179956,  0.10550113, -0.01936739,  0.27729192,  0.15602532,
        0.04562435,  0.09869611,  0.00550939,  0.15951632, -0.30212262,
        0.17512491,  0.15807359,  0.07822543,  0.03202093,  0.0307095 ,
       -0.1876862 , -0.00207204,  0.18942754, -0.25970957,  0.10026357,
        0.02779866,  0.00172672, -0.10872795, -0.12506101,  0.20139511,
        0.14327878, -0.15185243, -0.08852123,  0.12242791, -0.05313228,
       -0.03673472,  0.04441088, -0.19279629, -0.1859276 , -0.31457299,
        0.17576686,  0.37841585,  0.10787082, -0.26071727, -0.02515973,
       -0.00047281,  0.03856385,  0.02786868,  0.0271526 , -0.03031614,
       -0.09084143, -0.0622264 ,  0.04914231,  0.17560406,  0.04847185,
       -0.11149548,  0.24161378,  0.01551961,  0.04208815,  0.02964411,
        0.16012681, -0.08162099, -0.0790478 , -0.11146714,  0.04488964,
        0.07978345, -0.00853232, -0.04972407,  0.10611737, -0.11775161,
        0.17144625, -0.02675206, -0.02598866, -0.03890202,  0.01461433,
       -0.12007685, -0.03893961,  0.14785185, -0.23803131,  0.24536489,
        0.1743172 ,  0.04784923,  0.12586029,  0.03176979,  0.02563022,
       -0.00775189, -0.01925787, -0.23611766, -0.14950907,  0.07701858,
        0.00391679,  0.02665539,  0.06185801])]",211
"[array([-0.09398171, -0.03453926,  0.10014491, -0.07592698, -0.09829564,
       -0.08155163,  0.02783099, -0.04121684,  0.14290202, -0.1915109 ,
        0.1618126 , -0.03703993, -0.28856266,  0.01872205,  0.00243366,
        0.18140724, -0.11396807, -0.12441103, -0.09220151, -0.08392635,
        0.08166689, -0.01676925, -0.05394639,  0.10630915, -0.11015844,
       -0.21327485, -0.08896331, -0.07721356, -0.09432199, -0.0846621 ,
        0.06327768,  0.105168  , -0.08521043, -0.00306902,  0.01326701,
        0.06353427, -0.08623973, -0.07852317,  0.23530675,  0.03765244,
       -0.26320043, -0.03529942,  0.11975157,  0.23883413,  0.16816607,
        0.02299352,  0.01330733, -0.07826224,  0.2407361 , -0.35652983,
        0.00221149,  0.12010734,  0.12206568,  0.08859853,  0.11880945,
       -0.19274528,  0.08927513,  0.15847526, -0.2742056 ,  0.11666563,
        0.05236213, -0.21697044, -0.02808701, -0.08218256,  0.23498528,
        0.12802598, -0.16400379, -0.15895766,  0.25471392, -0.22158453,
       -0.08443237,  0.1693241 , -0.11309984, -0.17949139, -0.27298027,
       -0.01356735,  0.32331249,  0.1299717 , -0.06558208,  0.04620806,
       -0.0453083 , -0.04649662, -0.01660717,  0.22855473,  0.01093707,
       -0.03694177, -0.01861141, -0.04054751,  0.18110763, -0.03113367,
        0.04949678,  0.29590556,  0.04773729,  0.01028613, -0.02655183,
       -0.00799544, -0.15076479, -0.04349566, -0.10485376, -0.0028536 ,
       -0.08848112, -0.10115831,  0.03963844,  0.04754388, -0.18568403,
        0.16793847, -0.11216813,  0.00501335, -0.07974901, -0.04593833,
       -0.06245326,  0.01036107,  0.10720201, -0.2829358 ,  0.11886003,
        0.15194303,  0.0778335 ,  0.06459133,  0.02844776,  0.06583861,
        0.01769519, -0.07393211, -0.24003032,  0.00081917,  0.0616369 ,
       -0.10688244, -0.02853274,  0.01957478])]",212
"[array([-0.07946987,  0.15471549,  0.0189738 , -0.12723844, -0.12817541,
        0.01125582, -0.13518567, -0.08133744,  0.06675585, -0.02304858,
        0.23532453, -0.01577097, -0.29231563,  0.04666927, -0.04835584,
        0.1093618 , -0.11044261, -0.12452763, -0.09525605, -0.20196152,
       -0.02445605,  0.10052703, -0.04133089,  0.11730017, -0.12966582,
       -0.2086809 , -0.06309788, -0.11159594,  0.12032593, -0.18584435,
        0.05423512,  0.06614569, -0.16838287,  0.04350651, -0.00148374,
        0.06589386, -0.04260207, -0.09044538,  0.19475289,  0.0322827 ,
       -0.07139794,  0.03418605,  0.01752679,  0.30752921,  0.17664984,
       -0.01574159,  0.08412403, -0.09947566,  0.13245934, -0.2313856 ,
        0.12537751,  0.20734079,  0.1667652 ,  0.08919886,  0.02496098,
       -0.14415778,  0.03340576,  0.09833537, -0.19984229,  0.10821935,
        0.1019004 , -0.00551707, -0.11572922, -0.13001743,  0.16636673,
        0.07106252, -0.13978378, -0.1753069 ,  0.1238513 , -0.16902795,
       -0.16111207,  0.15481594, -0.13795581, -0.13212912, -0.29794014,
        0.07493075,  0.31495351,  0.16304746, -0.20996951,  0.0836955 ,
       -0.05537014, -0.03539414,  0.02918643, -0.01667753, -0.08479148,
       -0.11835349, -0.08415759,  0.08370957,  0.2507889 , -0.04338602,
       -0.08034877,  0.16360535,  0.0532523 ,  0.03555913, -0.00479432,
        0.15859963, -0.0810742 , -0.07851654, -0.04042046,  0.01078479,
        0.02829099, -0.01843318, -0.09518956,  0.04991539, -0.16586123,
        0.29441878,  0.04197104, -0.01584214, -0.05450912,  0.00996551,
       -0.15733856,  0.01320856,  0.25683337, -0.29053956,  0.22992745,
        0.16316079,  0.05689611,  0.07228158,  0.09365326,  0.05404852,
       -0.01753208, -0.08087058, -0.15290096, -0.18514277,  0.07686645,
       -0.06725025, -0.00108453,  0.05133046])]",213
