id;name;link;specialization;films_years;description;path_to_folder
17505;Стефен Ананикз;https://www.kinopoisk.ru/name/1114998;Продюсер,Режиссер,Актер,Сценарист;8, 2006 — 2019;;actors_usa/17505
22644;Стикки Фингаз;https://www.kinopoisk.ru/name/6730;Актер,Композитор,Сценарист,Режиссер,Продюсер,Монтажер;104, 1992 — 2024;Там,Щит,Однажды ночью,Напарницы,Империя;actors_usa/22644
48531;Теодора Ричардс;https://www.kinopoisk.ru/name/1874602;Актриса;3, 2013 — 2014;;actors_usa/48531
4829;Коуди Роджерс;https://www.kinopoisk.ru/name/2859797;Режиссер,Продюсер,Актер,Сценарист;12, 2012 — 2018;;actors_usa/4829
41086;Joe Ariola;https://www.kinopoisk.ru/name/6541368;Актер;10, 1999 — 2024;WWE SmackDown;actors_usa/41086
37332;Брэд Шектер;https://www.kinopoisk.ru/name/264871;Актер;8, 1990 — 2018;Дефективный детектив;actors_usa/37332
12422;Кевин Клайн;https://www.kinopoisk.ru/name/21491;Актер,Режиссер;157, 1951 — 2024;Чаплин,Выбор Софи,Жизнь как дом,Французский поцелуй,Императорский клуб,Эпоха кино,Закусочная Боба;actors_usa/12422
30610;Ноэль Шелдон;https://www.kinopoisk.ru/name/1135784;Актриса,Режиссер,Сценарист;12, 2006 — 2022;Жизнь как приговор;actors_usa/30610
27843;Джеймс Марстерс;https://www.kinopoisk.ru/name/24686;Актер;76, 1990 — 2023;P.S. Я люблю тебя,Торчвуд,Ангел,Баффи — истребительница вампиров,Утиные истории,Сверхъестественное;actors_usa/27843
2465;Эд Куинн;https://www.kinopoisk.ru/name/232890;Актер;56, 1995 — 2021;Эврика,Две девицы на мели,Живем сегодняшним днем,Молодые американцы,Отчаянные домохозяйки;actors_usa/2465
9915;Брэндон Ли;https://www.kinopoisk.ru/name/105947;Актер;29, 1985 — 2022;Ворон,Разборки в маленьком Токио;actors_usa/9915
25355;Ребекка Де Морнэй;https://www.kinopoisk.ru/name/7132;Актриса,Продюсер,Режиссер;87, 1981 — 2024;Короли Догтауна,Рука, качающая колыбель,Музыка внутри,Поезд-беглец,Рискованный бизнес,Джессика Джонс,Сияние,Скорая помощь,Закон и порядок. Специальный корпус,За гранью возможного;actors_usa/25355
7436;Девин Друид;https://www.kinopoisk.ru/name/2801798;Актер,Продюсер;30, 2010 — 2024;Грейхаунд,Что знает Оливия,13 причин почему,Карточный домик,911 служба спасения,Луи;actors_usa/7436
14899;Джо Хилл;https://www.kinopoisk.ru/name/163729;Сценарист,Продюсер,Актер;18, 1982 — 2021;Замок и ключ,Лок и ключ,Калейдоскоп ужасов;actors_usa/14899
52308;А.К. Коннор;https://www.kinopoisk.ru/name/1240341;Актер;101, 1973 — 2023;WWE RAW,WWE SmackDown;actors_usa/52308
56256;Нелли;https://www.kinopoisk.ru/name/241080;Актер,Композитор,Режиссер,Сценарист;158, 1995 — 2022;Всё или ничего,CSI: Место преступления Нью-Йорк;actors_usa/56256
33437;Рон Джереми;https://www.kinopoisk.ru/name/10600;Актер,Режиссер,Сценарист,Продюсер,Оператор,Композитор;759, 1977 — 2022;Святые из Бундока,Детройт — город рока,Ронин,Погоня,Детектив Нэш Бриджес,Гриффины;actors_usa/33437
20103;Табита Тейлор;https://www.kinopoisk.ru/name/56507;Актриса;39, 2000 — 2014;Саутленд,Части тела;actors_usa/20103
44678;Элизабет Родригес;https://www.kinopoisk.ru/name/50646;Актриса,Режиссер,Сценарист,Продюсер;77, 1984 — 2022;Кокаин,Отчаянный,Логан,Форс-мажор,Разные вещи,Бесстыжие,Третья смена,Скорая помощь,Хороший доктор,Тюрьма «ОZ»;actors_usa/44678
1;Helen Colliander;https://www.kinopoisk.ru/name/2533315;Актриса;11, 2007 — 2017;Копы-новобранцы,Быть человеком;actors_usa/1
